мне девятнадцать лет .	i m .
он опаздывает .	he is late .
он ленивый .	he is lazy .
он хороший .	he is nice .
он славный .	he is nice .
он беден .	he is poor .
он болен .	he is sick .
он болеет .	he is sick .
он швейцарец .	he s swiss .
он жесткий .	he s cruel .
он счастлив .	he s happy .
он врёт .	he s lying .
он лжёт .	he s lying .
он смышлёный .	he s smart .
я мужчина .	i am a man .
я человек .	i am a man .
я счастлива !	i am happy .
я человек .	i am human .
я готов .	i am ready .
я готова .	i am ready .
я прав .	i am right .
я низкий .	i am short .
я умный .	i am smart .
я умная .	i am smart .
извините .	i am sorry .
я устал !	i am tired .
я устала !	i am tired .
я устала .	i am tired .
я молодой .	i am young .
я молодая .	i am young .
сейчас я в порядке .	i m ok now .
я повариха .	i m a cook .
я герой .	i m a hero .
я героиня .	i m a hero .
я лжец .	i m a liar .
я врун .	i m a liar .
от меня один беспорядок .	i m a mess .
я монахиня .	i m a monk .
я поэт .	i m a poet .
я поэтесса .	i m a poet .
я временный работник .	i m a temp .
я временная работница .	i m a temp .
у меня есть брат близнец .	i m a twin .
у меня есть сестра близнец .	i m a twin .
я близнец .	i m a twin .
я тряпка .	i m a wimp .
я хлюпик .	i m a wimp .
я напуган .	i m afraid .
мне страшно .	i m afraid .
я боюсь .	i m afraid .
я развеселился .	i m amused .
я развеселилась .	i m amused .
у меня анемия .	i m anemic .
я пеку .	i m baking .
мне лучше .	i m better .
я необъективен .	i m biased .
я необъективна .	i m biased .
я предвзят .	i m biased .
я умен .	i m bright .
я умна .	i m bright .
я страшно устал .	i m bushed .
я страшно устала .	i m bushed .
я покупаю .	i m buying .
я пухлый .	i m chubby .
я пухлая .	i m chubby .
я неуклюжий .	i m clumsy .
я неуклюжая .	i m clumsy .
иду .	i m coming .
я иду .	i m coming .
я коварный .	i m crafty .
я коварная .	i m crafty .
я прямой .	i m direct .
я прямая .	i m direct .
я ем .	i m eating .
я знаменит .	i m famous .
я знаменита .	i m famous .
я известен .	i m famous .
я известна .	i m famous .
я быстрее .	i m faster .
я обрюзг .	i m flabby .
я обрюзгла .	i m flabby .
я бережливый .	i m frugal .
я бережливая .	i m frugal .
я жадный .	i m greedy .
я жадная .	i m greedy .
меня пошатывает .	i m groggy .
я виновен .	i m guilty .
виноват .	i m guilty .
виновата .	i m guilty .
я виновна .	i m guilty .
я прячусь .	i m hiding .
я честный .	i m honest .
я скромный .	i m humble .
я скромная .	i m humble .
я есть хочу !	i m hungry !
я голодная !	i m hungry !
я голодна !	i m hungry !
я голодна .	i m hungry .
я голодный .	i m hungry .
я голодная .	i m hungry .
я невосприимчив .	i m immune .
я невосприимчива .	i m immune .
я в кровати .	i m in bed .
я в постели .	i m in bed .
я внутри .	i m inside .
шучу .	i m joking .
я бухой .	i m loaded .
я бухая .	i m loaded .
я одинока .	i m lonely .
я проигрываю .	i m losing .
я переезжаю .	i m moving .
я нормальный .	i m normal .
я нормальная .	i m normal .
я не в порядке .	i m not ok .
я отдохнул .	i m rested .
я отдохнула .	i m rested .
я опустошен .	i m ruined .
я опустошена .	i m ruined .
я напуган .	i m scared .
мне страшно .	i m scared .
я потрясен .	i m shaken .
я потрясена .	i m shaken .
я тощий .	i m skinny .
я тощая .	i m skinny .
спать хочу !	i m sleepy !
я сонный .	i m sleepy .
мне хочется спать .	i m sleepy .
я сонная .	i m sleepy .
я подлый .	i m sneaky .
я такая толстая .	i m so fat .
я так взбешен .	i m so mad .
я так взбешена .	i m so mad .
я твердый .	i m stable .
я твердая .	i m stable .
я строг .	i m strict .
я сильная .	i m strong .
я глупый .	i m stupid .
я глупая .	i m stupid .
мне тридцать лет .	i m thirty .
мне тридцать .	i m thirty .
я пытаюсь .	i m trying .
мне двенадцать .	i m twelve .
я невредим .	i m unhurt .
я невредима .	i m unhurt .
я неопрятный .	i m untidy .
я неопрятная .	i m untidy .
я изможден .	i m wasted .
я измождена .	i m wasted .
она стара .	she is old .
она старая .	she is old .
она занята .	she s busy .
она моя .	she s mine .
она хорошая .	she s nice .
она милая .	she s nice .
мы люди .	we are men .
мы мужчины .	we are men .
мы вернулись .	we re back .
мы заняты .	we re busy .
мы спокойны .	we re calm .
мы крутые .	we re cool .
мы классные .	we re cool .
мы закончили .	we re done .
мы честны .	we re fair .
мы справедливы .	we re fair .
мы в порядке .	we re fine .
у нас всё отлично .	we re fine .
мы свободны !	we re free !
мы свободны .	we re free .
мы наелись .	we re full .
мы тут .	we re here .
мы дома .	we re home .
мы опаздываем .	we re late .
мы ленивые .	we re lazy .
мы потерялись .	we re lost .
мы заблудились .	we re lost .
мы бедные .	we re poor .
мы бедны .	we re poor .
мы богаты .	we re rich .
мы богатые .	we re rich .
мы в безопасности .	we re safe .
мы больны .	we re sick .
мы слабы .	we re weak .
ты плохой .	you re bad .
ты старая .	you re old .
ты старый .	you re old .
вы старые .	you re old .
вы старая .	you re old .
вы старый .	you re old .
вы грустный .	you re sad .
вы грустная .	you re sad .
ты грустный .	you re sad .
ты грустная .	you re sad .
вам грустно .	you re sad .
тебе грустно .	you re sad .
ты стеснительный .	you re shy .
он одинок .	he is alone .
он один .	he is alone .
он безумен .	he is crazy .
он сумасшедший .	he is crazy .
он псих .	he is crazy .
ему восемь .	he is eight .
он счастлив .	he is happy .
он ненавистный .	he is hated .
он врёт .	he is lying .
он лжёт .	he is lying .
он противный .	he is nasty .
он устал .	he is tired .
он молод .	he is young .
он мудак .	he s a jerk .
он лжец .	he s a liar .
он лгун .	he s a liar .
он врун .	he s a liar .
он ботаник .	he s a nerd .
он задрот .	he s a nerd .
он неряха .	he s a slob .
он разгильдяй .	he s a slob .
он спит .	he s asleep .
он едет .	he s coming .
он плачет .	he s crying .
он притворяется .	he s faking .
он симулирует .	he s faking .
он мой ровесник .	he s my age .
его нет .	he s not in .
он худой .	he s skinny .
он тощий .	he s skinny .
он худощавый .	he s skinny .
он поджарый .	he s skinny .
он сильный .	he s strong .
он тупой .	he s stupid .
он глупый .	he s stupid .
я монах .	i am a monk .
я близнец .	i am a twin .
я напуган .	i am afraid .
мне страшно .	i am afraid .
я боюсь .	i am afraid .
я лучше .	i am better .
иду .	i am coming .
я ем .	i am eating .
я проголодался .	i am hungry .
я голодна .	i am hungry .
я голодный .	i am hungry .
я голодная .	i am hungry .
шучу .	i am joking .
я в сети .	i am online .
я выше .	i am taller .
мне тоже семнадцать лет .	i m , too .
мне тоже семнадцать .	i m , too .
я пекарь .	i m a baker .
я боксер .	i m a boxer .
я сторож .	i m a guard .
я одиночка .	i m a loner .
я неудачник .	i m a loser .
я неудачница .	i m a loser .
я лузер .	i m a loser .
я бедолага .	i m a loser .
я горемыка .	i m a loser .
я медик .	i m a medic .
я несовершеннолетний .	i m a minor .
я несовершеннолетняя .	i m a minor .
я медсестра .	i m a nurse .
я медбрат .	i m a nurse .
я пилот .	i m a pilot .
я летчик .	i m a pilot .
я бунтарь .	i m a rebel .
я мятежник .	i m a rebel .
я бунтарка .	i m a rebel .
я мятежница .	i m a rebel .
я женщина .	i m a woman .
меня усыновили .	i m adopted .
меня удочерили .	i m adopted .
у меня всё готово .	i m all set .
мне стыдно .	i m ashamed .
я дома .	i m at home .
я на работе .	i m at work .
я озадачена .	i m baffled .
у меня биполярное расстройство .	i m bipolar .
я счастливый .	i m blessed .
я счастливая .	i m blessed .
я осторожен .	i m careful .
я осторожна .	i m careful .
я осторожный .	i m careful .
я осторожная .	i m careful .
я убеждён .	i m certain .
я готовлю .	i m cooking .
мне любопытно .	i m curious .
я танцую .	i m dancing .
я на диете .	i m dieting .
я сижу на диете .	i m dieting .
я за рулём .	i m driving .
я веду .	i m driving .
я за рулем .	i m driving .
я помолвлена .	i m engaged .
я возбуждена .	i m excited .
я падаю .	i m falling .
я соблюдаю пост .	i m fasting .
я придирчивый .	i m finicky .
я придирчивая .	i m finicky .
я безумен .	i m frantic .
я безумна .	i m frantic .
я взбешён .	i m furious .
я взбешена .	i m furious .
я в ярости .	i m furious .
я в бешенстве .	i m furious .
я взбешен .	i m furious .
я здоров .	i m healthy .
я здорова .	i m healthy .
я деятельный .	i m humming .
я деятельная .	i m humming .
я в риме .	i m in rome .
я в тюрьме .	i m in jail .
я влюблён .	i m in love .
я влюблена .	i m in love .
я влюблен .	i m in love .
мне везет .	i m in luck .
я ревнив .	i m jealous .
я ревную .	i m jealous .
я завидую .	i m jealous .
я ревнивый .	i m jealous .
я ревнивая .	i m jealous .
я нервный .	i m jittery .
я нервная .	i m jittery .
шучу .	i m kidding .
я ухожу .	i m leaving .
я уезжаю .	i m leaving .
я замужем .	i m married .
я нервничаю .	i m nervous .
я безразличен .	i m neutral .
я безразлична .	i m neutral .
я не герой .	i m no hero .
я вовсе не герой .	i m no hero .
я не героиня .	i m no hero .
я не лжец .	i m no liar .
я не лгунья .	i m no liar .
я не толстая !	i m not fat .
я не толстый .	i m not fat .
я не толстая .	i m not fat .
я не безумен .	i m not mad .
я не старый .	i m not old .
я не старая .	i m not old .
я не грустный .	i m not sad .
мне не грустно .	i m not sad .
я не грустная .	i m not sad .
я не стеснительный .	i m not shy .
я не стеснительная .	i m not shy .
я не застенчивый .	i m not shy .
я не застенчивая .	i m not shy .
я не робкий .	i m not shy .
я не робкая .	i m not shy .
я не ты .	i m not you .
я на дежурстве .	i m on duty .
я вовремя .	i m on time .
я пакую вещи .	i m packing .
я терпелив .	i m patient .
я терпелива .	i m patient .
я терпеливый .	i m patient .
я терпеливая .	i m patient .
я популярен .	i m popular .
я популярна .	i m popular .
я благоразумный .	i m prudent .
я предусмотрительный .	i m prudent .
я благоразумен .	i m prudent .
я благоразумна .	i m prudent .
я балдею .	i m psyched .
я в замешательстве .	i m puzzled .
я озадачен .	i m puzzled .
я озадачена .	i m puzzled .
я читаю .	i m reading .
я расслаблен .	i m relaxed .
я расслаблена .	i m relaxed .
я отдыхаю .	i m resting .
я на пенсии .	i m retired .
я в отставке .	i m retired .
я вышла на пенсию .	i m retired .
теперь мне грустно .	i m sad now .
я эгоист .	i m selfish .
я эгоистка .	i m selfish .
я эгоистичен .	i m selfish .
я эгоистична .	i m selfish .
я бреюсь .	i m shaving .
я в шоке .	i m shocked .
я шокирован .	i m shocked .
я шокирована .	i m shocked .
я искренне .	i m sincere .
я в стельку .	i m sloshed .
я в дымину .	i m smashed .
мне так холодно .	i m so cold .
я так рад .	i m so glad .
я так рада .	i m so glad .
я особенный .	i m special .
умираю с голоду .	i m starved .
я остаюсь .	i m staying .
я невероятно устал .	i m stuffed .
я невероятно устала .	i m stuffed .
у меня большие проблемы .	i m stuffed .
я объелась .	i m stuffed .
я ошеломлён .	i m stunned .
я потрясён .	i m stunned .
я ошеломлен .	i m stunned .
я разговариваю .	i m talking .
я говорю .	i m talking .
я дразнюсь .	i m teasing .
я главный администратор .	i m the ceo .
я это закон .	i m the law .
мне хочется пить .	i m thirsty .
я хочу пить .	i m thirsty .
у меня жажда .	i m thirsty .
пить хочется .	i m thirsty .
я всё .	i m through .
я слишком толстый .	i m too fat .
я тронут .	i m touched .
я тронута .	i m touched .
я в ловушке .	i m trapped .
я безоружна .	i m unarmed .
я не вооружен .	i m unarmed .
я несчастна .	i m unhappy .
я несчастен .	i m unhappy .
я несчастлива .	i m unhappy .
я несчастлив .	i m unhappy .
мне не везёт .	i m unlucky .
я неудачлив .	i m unlucky .
я невезучий .	i m unlucky .
я невезучая .	i m unlucky .
я со странностями .	i m unusual .
я тут наверху .	i m up here .
я следующая .	i m up next .
я бесполезен .	i m useless .
я бесполезна .	i m useless .
я бесполезный .	i m useless .
я бесполезная .	i m useless .
я никчёмен .	i m useless .
я никчёмный .	i m useless .
я жду .	i m waiting .
жду .	i m waiting .
я богат .	i m wealthy .
я богата .	i m wealthy .
я выигрываю .	i m winning .
я побеждаю .	i m winning .
я работаю .	i m working .
я беспокоюсь .	i m worried .
я волнуюсь .	i m worried .
я ранена .	i m wounded .
я ранен .	i m wounded .
она умерла .	she is dead .
она мертва .	she is dead .
она добрая .	she is kind .
она опаздывает .	she is late .
она хорошая .	she is nice .
она славная .	she is nice .
она поскользнулась .	she slipped .
это сука .	she s a dog .
она карга .	she s a dog .
она уродина .	she s a dog .
она собака .	she s a dog .
она застенчивая .	she s timid .
они плохие .	they re bad .
они толстые .	they re fat .
они новые .	they re new .
они старые .	they re old .
они красные .	they re red .
они рыжие .	they re red .
мы мальчики .	we are boys .
мы квиты .	we are even .
мы свободны !	we are free !
мы здесь .	we are here .
мы дома .	we are home .
мы опаздываем .	we are late .
мы больны .	we are sick .
мы одни .	we re alone .
мы вооружены .	we re armed .
мы не спим .	we re awake .
мы бодрствуем .	we re awake .
нам скучно .	we re bored .
нам надоело .	we re bored .
мы чисты .	we re clean .
мы сумасшедшие .	we re crazy .
мы умираем .	we re dying .
мы идём .	we re going .
мы готовы .	we re ready .
мы правы .	we re right .
мы спасены .	we re saved .
мы умны .	we re smart .
мы сожалеем .	we re sorry .
нам жаль .	we re sorry .
мы застряли .	we re stuck .
мы робкие .	we re timid .
мы застенчивые .	we re timid .
мы устали .	we re tired .
мы близнецы .	we re twins .
мы расстроены .	we re upset .
мы огорчены .	we re upset .
мы юны .	we re young .
мы молоды .	we re young .
мы молодые .	we re young .
мы юные .	we re young .
ты большой .	you are big .
ты большая .	you are big .
вы большие .	you are big .
ты вернулся .	you re back .
вы вернулись .	you re back .
ты вернулась .	you re back .
ты прикольный .	you re cool .
ты милый .	you re cute .
ты симпатичный .	you re cute .
ты симпатичная .	you re cute .
вы симпатичный .	you re cute .
вы симпатичная .	you re cute .
вы симпатичные .	you re cute .
ты честен .	you re fair .
ты честный .	you re fair .
ты справедливый .	you re fair .
ты справедливая .	you re fair .
вы справедливы .	you re fair .
вы свободны .	you re free .
ты свободен .	you re free .
ты свободна .	you re free .
ты хороший .	you re good .
ты здесь .	you re here .
вы здесь .	you re here .
ты опоздал .	you re late .
ты опоздала .	you re late .
ты ленивый .	you re lazy .
ты ленивая .	you re lazy .
вы ленивые .	you re lazy .
вы ленивый .	you re lazy .
вы ленивая .	you re lazy .
ты заблудился .	you re lost .
вы заблудились .	you re lost .
ты мой .	you re mine .
ты моя .	you re mine .
вы мои .	you re mine .
вы мой .	you re mine .
вы моя .	you re mine .
ты следующий .	you re next .
вы следующий .	you re next .
ты следующая .	you re next .
вы следующая .	you re next .
вы следующие .	you re next .
ты чокнутый !	you re nuts !
ты чокнутая !	you re nuts !
ты беден .	you re poor .
вы бедны .	you re poor .
ты богатая .	you re rich .
вы богатые .	you re rich .
вы богаты .	you re rich .
вы богатый .	you re rich .
вы богатая .	you re rich .
ты богатый .	you re rich .
ты богат .	you re rich .
ты богата .	you re rich .
вы грубы .	you re rude .
ты груб .	you re rude .
ты грубый .	you re rude .
ты груба .	you re rude .
ты грубая .	you re rude .
вы грубые .	you re rude .
ты в безопасности .	you re safe .
вы в безопасности .	you re safe .
ты мерзавец .	you re scum .
вы мерзавец .	you re scum .
ты подлец .	you re scum .
вы подлец .	you re scum .
ты больной !	you re sick !
ты болен !	you re sick !
ты болен .	you re sick .
ты худая .	you re thin .
вы худой .	you re thin .
вы худая .	you re thin .
вы худые .	you re thin .
ты опрятный .	you re tidy .
ты тщеславный .	you re vain .
ты тщеславная .	you re vain .
ты тщеславен .	you re vain .
ты тщеславна .	you re vain .
вы тщеславны .	you re vain .
вы тщеславные .	you re vain .
ты самодовольный .	you re vain .
ты самодоволен .	you re vain .
ты самодовольная .	you re vain .
ты самодовольна .	you re vain .
вы самодовольные .	you re vain .
вы самодовольны .	you re vain .
ты слаб .	you re weak .
ты слаба .	you re weak .
вы слабы .	you re weak .
ты мудрый .	you re wise .
он поэт .	he is a poet .
он спит .	he is asleep .
он пухлый .	he is chubby .
он ест .	he is eating .
он кушает .	he is eating .
он принимает пищу .	he is eating .
он герой .	he is heroic .
он ниндзя .	he s a ninja .
он на диете .	he s dieting .
он ревнивый .	he s jealous .
он ревнует .	he s jealous .
он женат .	he s married .
он мой герой .	he s my hero .
он вышел .	he s out now .
его сейчас нет .	he s out now .
он такой милый .	he s so cute .
он слишком стар .	he s too old .
он слишком старый .	he s too old .
я китаец .	i am chinese .
я китаянка .	i am chinese .
я медсестра .	i am a nurse .
я вдова .	i am a widow .
я женщина .	i am a woman .
мне стыдно .	i am ashamed .
я дома .	i am at home .
я хочу узнать .	i am curious .
интересно .	i am curious .
я страдаю от боли .	i am in pain .
я ранена .	i am injured .
я ранен .	i am injured .
я замужем .	i am married .
я молюсь .	i am praying .
я так болен .	i am so sick .
я так больна .	i am so sick .
я хочу пить .	i am thirsty .
я работаю .	i am working .
я уверен на .	i m sure .
я уверен на девяносто девять процентов .	i m sure .
я канадец .	i m canadian .
я канадка .	i m canadian .
я помощник официанта .	i m a busboy .
я клиент .	i m a client .
я клиентка .	i m a client .
я трус .	i m a coward .
я трусиха .	i m a coward .
я трусливый .	i m a coward .
я трусливая .	i m a coward .
я ковбой .	i m a cowboy .
я танцор .	i m a dancer .
я танцовщица .	i m a dancer .
я врач .	i m a doctor .
я фермер .	i m a farmer .
я отец .	i m a father .
я друг .	i m a friend .
я гений .	i m a genius .
я гольфист .	i m a golfer .
я гольфистка .	i m a golfer .
я отшельник .	i m a hermit .
я отшельница .	i m a hermit .
я охотник .	i m a hunter .
я адвокат .	i m a lawyer .
я участник .	i m a member .
я член .	i m a member .
я гончар .	i m a potter .
я священник .	i m a priest .
я пурист .	i m a purist .
я новобранец .	i m a rookie .
я певец .	i m a singer .
я певица .	i m a singer .
я курю .	i m a smoker .
я сёрфер .	i m a surfer .
я серфингист .	i m a surfer .
я серфингистка .	i m a surfer .
я официант .	i m a waiter .
я писатель .	i m a writer .
у меня зависимость .	i m addicted .
я весь внимание .	i m all ears .
я вся внимание .	i m all ears .
я актёр .	i m an actor .
я взрослый .	i m an adult .
я взрослая .	i m an adult .
я агент .	i m an agent .
у меня анорексия .	i m anorexic .
я артистичен .	i m artistic .
я артистична .	i m artistic .
я атлетичный .	i m athletic .
я атлетичная .	i m athletic .
я аутист .	i m autistic .
у меня аутизм .	i m autistic .
я босой .	i m barefoot .
я босая .	i m barefoot .
я немного ленив .	i m bit lazy .
я истекаю кровью .	i m bleeding .
у меня течёт кровь .	i m bleeding .
у меня кровь .	i m bleeding .
у меня идет кровь .	i m bleeding .
я блефую .	i m bluffing .
я сейчас занят .	i m busy now .
я сейчас занята .	i m busy now .
сейчас я занята .	i m busy now .
сейчас я спокоен .	i m calm now .
я смущён .	i m confused .
я в замешательстве .	i m confused .
я смущен .	i m confused .
я смущена .	i m confused .
я креативный .	i m creative .
я креативная .	i m creative .
я креативен .	i m creative .
я креативна .	i m creative .
я творческая личность .	i m creative .
я культурный .	i m cultured .
я решительный .	i m decisive .
я решительная .	i m decisive .
у меня диабет .	i m diabetic .
я старательный .	i m diligent .
я осмотрительный .	i m discreet .
я осмотрительная .	i m discreet .
я разведён .	i m divorced .
я в разводе .	i m divorced .
я разведена .	i m divorced .
я разведен .	i m divorced .
у меня всё хорошо .	i m doing ok .
мне крышка .	i m done for .
я пропал .	i m done for .
я сомневаюсь .	i m doubtful .
я тону .	i m drowning .
у меня дислексия .	i m dyslexic .
я образован .	i m educated .
я образована .	i m educated .
мне восемнадцать лет .	i m eighteen .
мне восемнадцать .	i m eighteen .
я сбегаю .	i m escaping .
я убегаю .	i m escaping .
меня ждут .	i m expected .
я верный .	i m faithful .
я верная .	i m faithful .
я умираю от голода .	i m famished .
я изголодался .	i m famished .
умираю есть хочу .	i m famished .
я изголодалась .	i m famished .
я бесстрашный .	i m fearless .
я бесстрашен .	i m fearless .
я бесстрашная .	i m fearless .
я борюсь .	i m fighting .
сейчас у меня всё хорошо .	i m fine now .
сейчас у меня всё в порядке .	i m fine now .
теперь я в порядке .	i m fine now .
я закончил .	i m finished .
я легко приспосабливаюсь .	i m flexible .
я за .	i m for that .
сейчас я свободен .	i m free now .
мне холодно .	i m freezing .
я замерз .	i m freezing .
я замерзаю .	i m freezing .
признателен .	i m grateful .
признательна .	i m grateful .
я благодарна .	i m grateful .
я горюю .	i m grieving .
меня не выпускают из дома .	i m grounded .
я доверчивый .	i m gullible .
я в стельку .	i m hammered .
я накачался .	i m hammered .
теперь я здесь .	i m here now .
я колеблюсь .	i m hesitant .
я бездомный .	i m homeless .
я бездомная .	i m homeless .
я скучаю по дому .	i m homesick .
я безнадежен .	i m hopeless .
я безнадежна .	i m hopeless .
я ужасен .	i m horrible .
я ужасна .	i m horrible .
у меня похмелье .	i m hungover .
я сильно ранен .	i m hurt bad .
